method,n_wires,run_id,found_valid,generation_found,final_correctness,final_length,time_seconds
baseline,6,1,True,1,1.0,22,0.052513199974782765
baseline,6,2,True,177,1.0,16,6.3312825000612065
baseline,6,3,True,3,1.0,21,0.07970190001651645
baseline,6,4,True,8,1.0,19,0.28973950003273785
baseline,6,5,True,1,1.0,20,0.051976999966427684
baseline,6,6,True,6,1.0,16,0.17423369991593063
baseline,6,7,True,23,1.0,16,0.8007706999778748
baseline,6,8,False,,0.96875,13,10.25392060005106
baseline,6,9,True,154,1.0,16,5.18870609998703
baseline,6,10,True,2,1.0,23,0.08373559999745339
baseline,6,11,True,2,1.0,22,0.09386309992987663
baseline,6,12,True,1,1.0,22,0.055351999937556684
baseline,6,13,True,9,1.0,18,0.30321320006623864
baseline,6,14,True,49,1.0,17,1.6734959000023082
baseline,6,15,True,13,1.0,17,0.4543834999203682
baseline,6,16,True,12,1.0,17,0.41677959996741265
baseline,6,17,True,7,1.0,20,0.24222290003672242
baseline,6,18,True,1,1.0,21,0.049704300006851554
baseline,6,19,True,21,1.0,15,0.6994489999487996
baseline,6,20,True,15,1.0,18,0.47652539995033294
coevolution,6,1,True,1,1.0,16,11.222313400008716
coevolution,6,2,True,1,1.0,18,9.167013900005259
coevolution,6,3,True,2,1.0,16,9.293328500003554
coevolution,6,4,True,2,1.0,18,8.99219090002589
coevolution,6,5,True,2,1.0,15,9.966100700083189
coevolution,6,6,True,2,1.0,18,10.497471999959089
coevolution,6,7,True,2,1.0,18,16.95858789992053
coevolution,6,8,True,2,1.0,16,10.61028989998158
coevolution,6,9,True,2,1.0,15,10.197609700029716
coevolution,6,10,True,2,1.0,16,9.00339680002071
coevolution,6,11,True,2,1.0,17,9.587308100075461
coevolution,6,12,True,2,1.0,16,10.479528500000015
coevolution,6,13,True,3,1.0,16,8.858225699979812
coevolution,6,14,True,1,1.0,16,9.404882399947383
coevolution,6,15,True,2,1.0,16,10.769099300028756
coevolution,6,16,True,1,1.0,15,10.265488300006837
coevolution,6,17,True,1,1.0,18,11.185653999913484
coevolution,6,18,True,2,1.0,17,8.580521900090389
coevolution,6,19,True,2,1.0,17,10.883680099970661
coevolution,6,20,True,2,1.0,17,11.129016199964099
baseline,8,1,False,,0.9609375,24,54.33275349996984
baseline,8,2,False,,0.95703125,27,55.85025329992641
baseline,8,3,False,,0.9453125,26,55.589534100028686
baseline,8,4,False,,0.96875,27,55.3200635999674
baseline,8,5,False,,0.97265625,26,53.78109780000523
baseline,8,6,False,,0.98046875,26,54.51079349999782
baseline,8,7,False,,0.953125,26,54.60885760001838
baseline,8,8,False,,0.98046875,25,54.410968699958175
baseline,8,9,True,127,1.0,32,23.230084399925545
baseline,8,10,False,,0.953125,23,54.00339810003061
baseline,8,11,False,,0.96484375,23,53.38167610007804
baseline,8,12,False,,0.94921875,23,54.84694399998989
baseline,8,13,False,,0.9609375,24,56.57958330004476
baseline,8,14,False,,0.96875,24,55.30691119993571
baseline,8,15,False,,0.94921875,23,54.16161790001206
baseline,8,16,False,,0.953125,24,54.51364869996905
baseline,8,17,False,,0.9609375,26,54.117380299954675
baseline,8,18,True,35,1.0,33,6.108870199997909
baseline,8,19,False,,0.9609375,26,53.659579000086524
baseline,8,20,False,,0.9140625,22,53.31037620001007
coevolution,8,1,True,4,1.0,45,35.362727000028826
coevolution,8,2,True,3,1.0,39,34.26710070006084
coevolution,8,3,True,6,1.0,40,33.67559210001491
coevolution,8,4,True,6,1.0,34,49.938465300016105
coevolution,8,5,True,5,1.0,45,36.588654699968174
coevolution,8,6,True,5,1.0,40,34.91722010006197
coevolution,8,7,True,5,1.0,38,34.042215700028464
coevolution,8,8,True,6,1.0,39,34.744380600051954
coevolution,8,9,True,6,1.0,41,32.43653289997019
coevolution,8,10,True,8,1.0,39,33.814651300082915
coevolution,8,11,True,5,1.0,35,34.79437830008101
coevolution,8,12,True,7,1.0,40,31.58272169996053
coevolution,8,13,True,7,1.0,42,34.1055358001031
coevolution,8,14,True,8,1.0,39,32.73952130007092
coevolution,8,15,True,5,1.0,40,32.82817360002082
coevolution,8,16,True,5,1.0,40,32.87480999995023
coevolution,8,17,True,7,1.0,44,32.13216319994535
coevolution,8,18,True,5,1.0,44,33.64624329993967
coevolution,8,19,True,6,1.0,39,32.479150200029835
coevolution,8,20,True,7,1.0,38,30.615960599971004
