method,n_wires,run_id,found_valid,generation_found,final_correctness,best_length,time_seconds
baseline,6,1,True,1,1.0,15,23.91901030007284
baseline,6,2,True,2,1.0,16,24.642373400041834
baseline,6,3,True,1,1.0,15,24.12372899998445
baseline,6,4,True,2,1.0,14,24.156715500052087
baseline,6,5,True,1,1.0,14,24.445443900069222
baseline,6,6,True,1,1.0,15,26.70213300001342
baseline,6,7,True,2,1.0,13,27.8986969999969
baseline,6,8,True,2,1.0,17,26.842639099922962
baseline,6,9,True,1,1.0,16,26.515747600002214
baseline,6,10,True,2,1.0,17,26.646770299994387
baseline,6,11,True,2,1.0,16,26.62280140002258
baseline,6,12,True,1,1.0,15,26.714402799960226
baseline,6,13,True,2,1.0,16,41.40157049999107
baseline,6,14,True,2,1.0,16,34.135874500032514
baseline,6,15,True,3,1.0,16,31.486106199910864
baseline,6,16,True,2,1.0,16,30.07843779993709
baseline,6,17,True,2,1.0,15,28.990316499955952
baseline,6,18,True,1,1.0,14,28.01706350001041
baseline,6,19,True,2,1.0,15,29.170950299943797
baseline,6,20,True,2,1.0,15,33.73466279997956
coevolution,6,1,True,1,1.0,16,13.561156700016
coevolution,6,2,True,1,1.0,18,11.125969999935478
coevolution,6,3,True,2,1.0,16,11.509041400044225
coevolution,6,4,True,2,1.0,18,10.9378810999915
coevolution,6,5,True,2,1.0,15,12.828039899934083
coevolution,6,6,True,2,1.0,18,16.105625500087626
coevolution,6,7,True,2,1.0,18,22.382754200021736
coevolution,6,8,True,2,1.0,16,14.002263900008984
coevolution,6,9,True,2,1.0,15,14.040761600015685
coevolution,6,10,True,2,1.0,16,12.524009399930947
coevolution,6,11,True,2,1.0,17,12.881386400084011
coevolution,6,12,True,2,1.0,16,21.03163320000749
coevolution,6,13,True,3,1.0,16,19.898842399939895
coevolution,6,14,True,1,1.0,16,14.212029000045732
coevolution,6,15,True,2,1.0,16,19.610803400049917
coevolution,6,16,True,1,1.0,15,17.50231160002295
coevolution,6,17,True,1,1.0,18,20.296964299981482
coevolution,6,18,True,2,1.0,17,12.165520299924538
coevolution,6,19,True,2,1.0,17,15.498179599992
coevolution,6,20,True,2,1.0,17,20.254735499969684
baseline,8,1,True,5,1.0,35,149.8260534000583
baseline,8,2,True,4,1.0,39,137.78720989997964
baseline,8,3,True,4,1.0,36,136.16687369998544
baseline,8,4,True,5,1.0,38,135.08601920004003
baseline,8,5,True,5,1.0,33,134.57146000000648
baseline,8,6,True,4,1.0,39,131.7403207999887
baseline,8,7,True,6,1.0,35,133.75850130000617
baseline,8,8,True,5,1.0,37,132.77677130000666
baseline,8,9,True,4,1.0,32,137.80951179994736
baseline,8,10,True,4,1.0,38,159.72979509993456
baseline,8,11,True,5,1.0,36,138.66794169996865
baseline,8,12,True,6,1.0,38,151.36335660004988
baseline,8,13,True,4,1.0,38,148.30344679998234
baseline,8,14,True,4,1.0,36,144.3422464999603
baseline,8,15,True,4,1.0,36,176.42781570006628
baseline,8,16,True,5,1.0,35,165.0235395000782
baseline,8,17,True,5,1.0,41,159.0108061999781
baseline,8,18,True,6,1.0,33,152.94329450000077
baseline,8,19,True,5,1.0,31,146.76474769995548
baseline,8,20,True,4,1.0,40,153.08156389999203
coevolution,8,1,True,4,1.0,45,47.65269479993731
coevolution,8,2,True,3,1.0,39,42.18869199999608
coevolution,8,3,True,6,1.0,40,44.14615919999778
coevolution,8,4,True,6,1.0,34,59.74829379993025
coevolution,8,5,True,5,1.0,45,45.43345550005324
coevolution,8,6,True,5,1.0,40,43.540381300030276
coevolution,8,7,True,5,1.0,38,43.14008279994596
coevolution,8,8,True,6,1.0,39,42.84101249999367
coevolution,8,9,True,6,1.0,41,47.54473920003511
coevolution,8,10,True,8,1.0,39,49.5118652000092
coevolution,8,11,True,5,1.0,35,43.139798999996856
coevolution,8,12,True,7,1.0,40,45.25685800006613
coevolution,8,13,True,7,1.0,42,42.02867869997863
coevolution,8,14,True,8,1.0,39,46.5871482999064
coevolution,8,15,True,5,1.0,40,64.49560020002536
coevolution,8,16,True,5,1.0,40,49.89962340006605
coevolution,8,17,True,7,1.0,44,40.95570390007924
coevolution,8,18,True,5,1.0,44,57.12273190007545
coevolution,8,19,True,6,1.0,39,43.18682209996041
coevolution,8,20,True,7,1.0,38,42.73282819997985
